Column1,Day,Total_Daily_Consumption,LCLid,avg_energy,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,Bank holidays,Type,holiday_ind
0,11/23/2011,90.3850001,13,6.952692315,10.36,229,6.29,0.36,2.04,1027.12,10.36,8.06,0.93,6.56,10.36,1,8.24,3.81,10.36,2.18,0.94,,,0
1,11/24/2011,213.4119999,25,8.536479996,12.93,204,8.56,0.41,4.04,1027.22,12.93,10.64,0.89,7.3,12.93,1,9.71,8.56,12.93,7.01,0.97,,,0
2,11/25/2011,303.9929999,32,9.499781247,13.03,243,7.24,0.48,5.02,1024.47,12.27,12.38,0.79,4.69,13.03,1,7.01,7.46,12.27,4.84,0.01,,,0
3,11/26/2011,420.9759997,41,10.26770731,12.96,237,6.96,0.44,5.75,1025.8,12.96,13.07,0.81,11.59,12.96,1,11.59,7.01,12.96,4.69,0.05,,,0
4,11/27/2011,444.8830006,41,10.85080489,13.54,256,5.76,0.42,5.48,1021.11,13.54,13.08,0.72,1.31,13.54,1,1.31,4.47,13.54,2.94,0.08,,,0
5,11/28/2011,500.6859998,55,9.103381815,12.58,190,4.39,0.56,2.34,1022.8,10.27,11.84,0.86,10.27,12.58,1,10.27,1.31,10.27,1.31,0.12,,,0
6,11/29/2011,584.3170005,63,9.274873024,13.47,213,8.61,0.6,6.48,1009.7,13.47,12.57,0.82,3.34,13.47,1,6.34,6.37,13.47,3.39,0.15,,,0
7,11/30/2011,669.827,76,8.813513158,11.87,205,5.26,0.31,4.43,1019.43,11.87,13.05,0.78,6.23,11.87,1,9.44,6.34,11.87,3.34,0.19,,,0
8,12/1/2011,848.9490005,92,9.227706527,12.15,225,6.87,0.57,2.57,1007.12,12.15,12.15,0.82,0.46,12.15,1,2.56,6.08,12.15,5.29,0.22,,,0
9,12/2/2011,1014.591001,100,10.14591001,8.07,232,3.69,0.32,3,1012.12,5.33,11.89,0.87,3.26,5.33,1,6.33,2.56,7.36,0.46,0.25,,,0
