temperatureMax,temperatureMaxTime,windBearing,icon,dewPoint,temperatureMinTime,cloudCover,windSpeed,pressure,apparentTemperatureMinTime,apparentTemperatureHigh,precipType,visibility,humidity,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureMax,uvIndex,time,sunsetTime,temperatureLow,temperatureMin,temperatureHigh,sunriseTime,temperatureHighTime,uvIndexTime,summary,temperatureLowTime,apparentTemperatureMin,apparentTemperatureMaxTime,apparentTemperatureLowTime,moonPhase
11.96,2011-11-11 23:00:00,123,fog,9.4,2011-11-11 07:00:00,0.79,3.88,1016.08,2011-11-11 07:00:00,10.87,rain,3.3,0.95,2011-11-11 19:00:00,10.87,11.96,1.0,2011-11-11 00:00:00,2011-11-11 16:19:21,10.87,8.85,10.87,2011-11-11 07:12:14,2011-11-11 19:00:00,2011-11-11 11:00:00,Foggy until afternoon.,2011-11-11 19:00:00,6.48,2011-11-11 23:00:00,2011-11-11 19:00:00,0.52
8.59,2011-12-11 14:00:00,198,partly-cloudy-day,4.49,2011-12-11 01:00:00,0.56,3.94,1007.71,2011-12-11 02:00:00,5.62,rain,12.09,0.88,2011-12-11 19:00:00,-0.64,5.72,1.0,2011-12-11 00:00:00,2011-12-11 15:52:53,3.09,2.48,8.59,2011-12-11 07:57:02,2011-12-11 14:00:00,2011-12-11 12:00:00,Partly cloudy throughout the day.,2011-12-12 07:00:00,0.11,2011-12-11 20:00:00,2011-12-12 08:00:00,0.53
10.33,2011-12-27 02:00:00,225,partly-cloudy-day,5.47,2011-12-27 23:00:00,0.85,3.54,1032.76,2011-12-27 22:00:00,10.33,rain,13.39,0.74,2011-12-27 14:00:00,5.52,10.33,0.0,2011-12-27 00:00:00,2011-12-27 15:57:56,8.03,8.03,10.33,2011-12-27 08:07:06,2011-12-27 14:00:00,2011-12-27 00:00:00,Mostly cloudy throughout the day.,2011-12-27 23:00:00,5.59,2011-12-27 02:00:00,2011-12-28 00:00:00,0.1
8.07,2011-12-02 23:00:00,232,wind,3.69,2011-12-02 07:00:00,0.32,3.0,1012.12,2011-12-02 07:00:00,5.33,rain,11.89,0.87,2011-12-02 12:00:00,3.26,5.33,1.0,2011-12-02 00:00:00,2011-12-02 15:56:17,6.33,2.56,7.36,2011-12-02 07:46:09,2011-12-02 12:00:00,2011-12-02 10:00:00,Partly cloudy throughout the day and breezy overnight.,2011-12-02 19:00:00,0.46,2011-12-02 12:00:00,2011-12-02 19:00:00,0.25
8.22,2011-12-24 23:00:00,252,partly-cloudy-night,2.79,2011-12-24 07:00:00,0.37,4.46,1028.17,2011-12-24 07:00:00,5.02,rain,13.16,0.8,2011-12-24 15:00:00,4.37,5.32,1.0,2011-12-24 00:00:00,2011-12-24 15:55:55,7.45,3.17,7.93,2011-12-24 08:06:15,2011-12-24 15:00:00,2011-12-24 13:00:00,Mostly cloudy throughout the day.,2011-12-24 19:00:00,-0.51,2011-12-24 23:00:00,2011-12-24 20:00:00,0.99
7.97,2011-12-15 14:00:00,234,wind,2.41,2011-12-15 00:00:00,0.42,4.71,996.75,2011-12-15 00:00:00,4.25,rain,12.79,0.77,2011-12-15 14:00:00,-2.58,4.38,1.0,2011-12-15 00:00:00,2011-12-15 15:52:48,1.8,4.08,7.97,2011-12-15 08:00:46,2011-12-15 14:00:00,2011-12-15 11:00:00,Partly cloudy throughout the day and breezy in the morning.,2011-12-16 08:00:00,1.07,2011-12-15 21:00:00,2011-12-16 08:00:00,0.66
13.19,2011-11-19 14:00:00,117,fog,8.12,2011-11-19 23:00:00,0.26,2.37,1016.8,2011-11-19 08:00:00,13.19,rain,6.63,0.92,2011-11-19 14:00:00,4.76,13.19,1.0,2011-11-19 00:00:00,2011-11-19 16:08:22,4.76,7.48,13.19,2011-11-19 07:26:03,2011-11-19 14:00:00,2011-11-19 10:00:00,Foggy starting in the evening.,2011-11-20 08:00:00,5.98,2011-11-19 14:00:00,2011-11-20 08:00:00,0.79
8.32,2011-11-16 23:00:00,117,fog,5.58,2011-11-16 07:00:00,0.81,2.36,1017.4,2011-11-16 04:00:00,6.64,rain,3.69,0.93,2011-11-16 14:00:00,4.68,7.14,1.0,2011-11-16 00:00:00,2011-11-16 16:12:12,6.93,5.19,8.18,2011-11-16 07:20:57,2011-11-16 14:00:00,2011-11-16 11:00:00,Foggy starting in the evening.,2011-11-16 19:00:00,2.93,2011-11-16 23:00:00,2011-11-16 19:00:00,0.68
9.82,2011-12-12 23:00:00,221,wind,4.1,2011-12-12 07:00:00,0.38,5.02,1002.47,2011-12-12 08:00:00,5.18,rain,12.05,0.84,2011-12-12 16:00:00,2.71,5.94,1.0,2011-12-12 00:00:00,2011-12-12 15:52:47,6.88,3.09,8.53,2011-12-12 07:58:02,2011-12-12 19:00:00,2011-12-12 11:00:00,Partly cloudy throughout the day and breezy starting in the evening.,2011-12-13 08:00:00,-0.64,2011-12-12 23:00:00,2011-12-13 08:00:00,0.56
9.71,2011-11-20 14:00:00,115,fog,6.62,2011-11-20 08:00:00,0.41,1.24,1018.82,2011-11-20 08:00:00,9.54,rain,2.64,0.96,2011-11-20 15:00:00,5.95,9.54,1.0,2011-11-20 00:00:00,2011-11-20 16:07:10,7.1,4.76,9.71,2011-11-20 07:27:43,2011-11-20 14:00:00,2011-11-20 10:00:00,Foggy in the morning.,2011-11-21 02:00:00,4.76,2011-11-20 15:00:00,2011-11-21 01:00:00,0.82
